,REF_DATE,GEO,male population(1000),female population(1000),male labour force(1000),female labour force(1000),male fulltime employments(1000),female fulltime employments(1000),male unemployed(1000),female unemployed(1000),male unemployment rate(%),female unemployment rate(%),male participation rate(%),female participation rate(%),male employment rate(%),female employment rate(%),total population(1000),total labor force(1000),total fulltime employments(1000),total unemployed,total unemployment rate(%),total participation rate(%),total employment rate(%),covid cases,covid deaths,canada covid cases,canada covid deaths
55,2019-06,Alberta,1727.4,1723.2,1332.2,1147.9,1107.6,802.2,97.6,67.7,7.3,5.9,77.1,66.6,7.3,5.9,3450.6000000000004,2480.1000000000004,1604.4,165.3,6.600852025734655,71.8563901930099,6.600852025734655,0.0,0.0,0.0,0.0
56,2019-06,British Columbia,2082.0,2156.2,1469.7,1355.6,1187.9,918.3,72.9,60.6,5.0,4.5,70.6,62.9,5.0,4.5,4238.2,2825.3,1836.6,133.5,4.745623141899863,66.68259638525788,4.745623141899863,0.0,0.0,0.0,0.0
57,2019-06,Canada,15149.6,15525.3,10695.7,9580.4,8728.0,6787.6,649.1,482.1,6.1,5.0,70.6,61.7,6.1,5.0,30674.9,20276.1,13575.2,1131.2,5.543263710721142,66.09549729583469,5.543263710721142,0.0,0.0,0.0,0.0
58,2019-06,Manitoba,515.6,524.0,377.0,324.7,307.9,225.1,23.5,15.1,6.2,4.7,73.1,62.0,6.2,4.7,1039.6,701.7,450.2,38.6,5.443939976914198,67.50515582916506,5.443939976914198,0.0,0.0,0.0,0.0
59,2019-06,New Brunswick,314.6,327.8,206.8,191.0,166.4,142.5,19.7,13.2,9.5,6.9,65.7,58.3,9.5,6.9,642.4000000000001,397.8,285.0,32.9,8.173287671232876,61.92397260273972,8.173287671232876,0.0,0.0,0.0,0.0
60,2019-06,Newfoundland and Labrador,219.2,226.5,139.0,123.8,108.1,89.6,20.3,13.0,14.6,10.5,63.4,54.7,14.6,10.5,445.7,262.8,179.2,33.3,12.51642360332062,58.97875252411937,12.51642360332062,0.0,0.0,0.0,0.0
61,2019-06,Nova Scotia,389.1,416.4,254.1,249.8,203.5,176.2,21.4,14.0,8.4,5.6,65.3,60.0,8.4,5.6,805.5,503.9,352.4,35.4,6.952551210428306,62.56018621973929,6.952551210428306,0.0,0.0,0.0,0.0
62,2019-06,Ontario,5910.3,6130.6,4132.5,3721.7,3380.5,2644.8,231.2,194.6,5.6,5.2,69.9,60.7,5.6,5.2,12040.9,7854.2,5289.6,425.8,5.39634080508932,65.21583851705438,5.39634080508932,0.0,0.0,0.0,0.0
63,2019-06,Prince Edward Island,63.9,66.4,45.4,41.9,36.2,31.2,5.2,2.7,11.5,6.4,71.0,63.1,11.5,6.4,130.3,87.3,62.4,7.9,8.90107444359171,66.97421335379892,8.90107444359171,0.0,0.0,0.0,0.0
64,2019-06,Quebec,3483.9,3515.0,2408.8,2146.1,1954.8,1560.3,139.8,88.1,5.8,4.1,69.1,61.1,5.8,4.1,6998.9,4554.9,3120.6,227.9,4.946222977896527,65.08222577833659,4.946222977896527,0.0,0.0,0.0,0.0
65,2019-06,Saskatchewan,443.8,439.2,330.2,277.9,275.2,197.5,17.6,13.1,5.3,4.7,74.4,63.3,5.3,4.7,883.0,608.0999999999999,395.0,30.700000000000003,5.001562853907135,68.878912797282,5.001562853907135,0.0,0.0,0.0,0.0
66,2019-07,Alberta,1730.2,1726.4,1344.6,1147.1,1093.4,795.2,107.0,69.9,8.0,6.1,77.7,66.4,8.0,6.1,3456.6000000000004,2491.7,1590.4,176.9,7.05104437886941,72.05621130590754,7.05104437886941,0.0,0.0,0.0,0.0
67,2019-07,British Columbia,2086.2,2160.9,1465.7,1347.5,1193.1,890.9,69.3,63.1,4.7,4.7,70.3,62.4,4.7,4.7,4247.1,2813.2,1781.8,132.4,4.699999999999999,66.28052553507098,4.699999999999999,0.0,0.0,0.0,0.0
68,2019-07,Canada,15175.7,15551.3,10712.9,9582.2,8728.1,6777.5,654.8,512.5,6.1,5.3,70.6,61.6,6.1,5.3,30727.0,20295.1,13555.0,1167.3,5.695110489146353,66.04499300289648,5.695110489146353,0.0,0.0,0.0,0.0
69,2019-07,Manitoba,516.3,524.8,375.8,324.2,305.8,222.2,24.0,16.8,6.4,5.2,72.8,61.8,6.4,5.2,1041.1,700.0,444.4,40.8,5.79510133512631,67.25509557199116,5.79510133512631,0.0,0.0,0.0,0.0
70,2019-07,New Brunswick,315.1,328.2,207.4,190.1,164.1,139.9,22.0,14.5,10.6,7.6,65.8,57.9,10.6,7.6,643.3,397.5,279.8,36.5,9.069454375874397,61.76956318980258,9.069454375874397,0.0,0.0,0.0,0.0
71,2019-07,Newfoundland and Labrador,219.1,226.5,139.4,124.7,108.0,89.0,19.9,13.3,14.3,10.7,63.6,55.1,14.3,10.7,445.6,264.1,178.0,33.2,12.470107719928189,59.279421005386,12.470107719928189,0.0,0.0,0.0,0.0
72,2019-07,Nova Scotia,389.6,417.0,253.1,250.0,203.4,176.1,20.8,16.5,8.2,6.6,65.0,60.0,8.2,6.6,806.6,503.1,352.2,37.3,7.372824200347136,62.4150756260848,7.372824200347136,0.0,0.0,0.0,0.0
73,2019-07,Ontario,5922.6,6142.6,4144.9,3716.8,3382.4,2673.1,239.6,207.1,5.8,5.6,70.0,60.5,5.8,5.6,12065.2,7861.7,5346.2,446.7,5.698176573948214,65.1633872625402,5.698176573948214,0.0,0.0,0.0,0.0
74,2019-07,Prince Edward Island,64.2,66.5,45.8,42.2,36.1,31.8,5.1,2.5,11.1,5.9,71.3,63.5,11.1,5.9,130.7,88.0,63.6,7.6,8.45424636572303,67.33136954858455,8.45424636572303,0.0,0.0,0.0,0.0
75,2019-07,Quebec,3488.2,3518.7,2406.7,2160.0,1971.7,1566.3,129.4,92.3,5.4,4.3,69.0,61.4,5.4,4.3,7006.9,4566.7,3132.6,221.7,4.847605931296294,65.18345916168349,4.847605931296294,0.0,0.0,0.0,0.0
76,2019-07,Saskatchewan,444.3,439.7,329.7,279.6,270.1,193.1,17.7,16.5,5.4,5.9,74.2,63.6,5.4,5.9,884.0,609.3,386.2,34.2,5.648699095022625,68.92757918552037,5.648699095022625,0.0,0.0,0.0,0.0
77,2019-08,Alberta,1732.4,1728.8,1351.9,1139.2,1095.9,783.8,119.3,71.1,8.8,6.2,78.0,65.9,8.8,6.2,3461.2,2491.1000000000004,1567.6,190.4,7.501352132208483,71.95629261527795,7.501352132208483,0.0,0.0,0.0,0.0
78,2019-08,British Columbia,2089.0,2164.1,1469.3,1351.4,1183.0,898.5,73.9,68.4,5.0,5.1,70.3,62.4,5.0,5.1,4253.1,2820.7,1797.0,142.3,5.050882885424748,66.28025205144482,5.050882885424748,0.0,0.0,0.0,0.0
79,2019-08,Canada,15193.9,15570.0,10750.3,9602.7,8754.0,6787.0,671.1,503.3,6.2,5.2,70.8,61.7,6.2,5.2,30763.9,20353.0,13574.0,1174.4,5.693887315977493,66.19437457539519,5.693887315977493,0.0,0.0,0.0,0.0
80,2019-08,Manitoba,516.7,525.3,375.2,324.4,308.1,225.9,22.0,15.4,5.9,4.7,72.6,61.8,5.9,4.7,1042.0,699.5999999999999,451.8,37.4,5.295047984644913,67.15543186180422,5.295047984644913,0.0,0.0,0.0,0.0
81,2019-08,New Brunswick,315.4,328.6,208.1,192.4,168.3,143.0,20.5,13.1,9.9,6.8,66.0,58.6,9.9,6.8,644.0,400.5,286.0,33.6,8.318229813664596,62.22416149068323,8.318229813664596,0.0,0.0,0.0,0.0
82,2019-08,Newfoundland and Labrador,219.2,226.5,138.6,124.5,105.5,87.6,20.2,13.7,14.6,11.0,63.2,55.0,14.6,11.0,445.7,263.1,175.2,33.9,12.770518285842495,59.03284720664124,12.770518285842495,0.0,0.0,0.0,0.0
83,2019-08,Nova Scotia,390.2,417.6,255.3,250.1,201.8,178.4,23.3,16.8,9.1,6.7,65.4,59.9,9.1,6.7,807.8,505.4,356.8,40.1,7.859296855657341,62.55672196088141,7.859296855657341,0.0,0.0,0.0,0.0
84,2019-08,Ontario,5931.2,6151.5,4166.9,3736.0,3409.0,2675.7,242.9,202.2,5.8,5.4,70.3,60.7,5.8,5.4,12082.7,7902.9,5351.4,445.1,5.5963534640436325,65.41248313704718,5.5963534640436325,0.0,0.0,0.0,0.0
85,2019-08,Prince Edward Island,64.3,66.7,45.5,41.7,36.1,31.7,5.0,2.6,11.0,6.2,70.8,62.5,11.0,6.2,131.0,87.2,63.4,7.6,8.556030534351144,66.57396946564884,8.556030534351144,0.0,0.0,0.0,0.0
86,2019-08,Quebec,3490.8,3520.9,2412.1,2160.5,1974.7,1568.5,128.6,83.0,5.3,3.8,69.1,61.4,5.3,3.8,7011.700000000001,4572.6,3137.0,211.6,4.546780381362579,65.2334726243279,4.546780381362579,0.0,0.0,0.0,0.0
87,2019-08,Saskatchewan,444.6,440.1,327.4,282.4,271.5,194.0,15.4,17.1,4.7,6.1,73.6,64.2,4.7,6.1,884.7,609.8,388.0,32.5,5.39643947100712,68.92390640895218,5.39643947100712,0.0,0.0,0.0,0.0
88,2019-09,Alberta,1735.7,1732.3,1328.6,1146.4,1100.8,788.3,92.6,71.9,7.0,6.3,76.5,66.2,7.0,6.3,3468.0,2475.0,1576.6,164.5,6.650343137254902,71.35504901960785,6.650343137254902,0.0,0.0,0.0,0.0
89,2019-09,British Columbia,2092.3,2167.8,1457.1,1344.9,1173.4,922.7,73.9,69.0,5.1,5.1,69.6,62.0,5.1,5.1,4260.1,2802.0,1845.4,142.9,5.1,65.73265416304781,5.1,0.0,0.0,0.0,0.0
90,2019-09,Canada,15216.1,15592.6,10695.4,9633.3,8752.2,6815.4,627.6,518.0,5.9,5.4,70.3,61.8,5.9,5.4,30808.7,20328.7,13630.8,1145.6,5.646944856485344,65.99806256025083,5.646944856485344,0.0,0.0,0.0,0.0
91,2019-09,Manitoba,517.4,526.1,374.7,323.4,308.2,228.4,21.9,13.5,5.8,4.2,72.4,61.5,5.8,4.2,1043.5,698.0999999999999,456.8,35.4,4.993330138955438,66.90456157163393,4.993330138955438,0.0,0.0,0.0,0.0
92,2019-09,New Brunswick,315.7,328.8,204.8,191.4,165.9,143.6,18.9,12.9,9.2,6.7,64.9,58.2,9.2,6.7,644.5,396.2000000000001,287.2,31.8,7.924592707525213,61.48190845616757,7.924592707525213,0.0,0.0,0.0,0.0
93,2019-09,Newfoundland and Labrador,219.1,226.5,134.4,123.5,105.4,87.2,16.8,12.4,12.5,10.0,61.3,54.5,12.5,10.0,445.6,257.9,174.4,29.200000000000003,11.229241472172353,57.8435368043088,11.229241472172353,0.0,0.0,0.0,0.0
94,2019-09,Nova Scotia,390.8,418.2,251.8,252.3,202.1,180.6,20.6,16.3,8.2,6.5,64.4,60.3,8.2,6.5,809.0,504.1,361.2,36.900000000000006,7.321211372064276,62.28056860321385,7.321211372064276,0.0,0.0,0.0,0.0
95,2019-09,Ontario,5942.0,6162.5,4149.1,3750.3,3416.1,2670.0,220.3,206.5,5.3,5.5,69.8,60.9,5.3,5.5,12104.5,7899.400000000001,5340.0,426.8,5.401821636581436,65.26893717212607,5.401821636581436,0.0,0.0,0.0,0.0
96,2019-09,Prince Edward Island,64.4,66.8,46.1,42.1,37.5,30.9,4.7,2.8,10.2,6.7,71.6,63.0,10.2,6.7,131.2,88.2,61.8,7.5,8.41798780487805,67.22134146341463,8.41798780487805,0.0,0.0,0.0,0.0
97,2019-09,Quebec,3493.6,3523.0,2417.8,2176.7,1970.2,1565.5,139.6,97.0,5.8,4.5,69.2,61.8,5.8,4.5,7016.6,4594.5,3131.0,236.6,5.1472764586836925,65.48449676481486,5.1472764586836925,0.0,0.0,0.0,0.0
98,2019-09,Saskatchewan,445.1,440.6,331.0,282.4,272.5,198.3,18.4,15.7,5.6,5.6,74.4,64.1,5.6,5.6,885.7,613.4,396.6,34.099999999999994,5.6,69.27616574460879,5.6,0.0,0.0,0.0,0.0
99,2019-10,Alberta,1738.3,1735.0,1335.6,1145.3,1111.2,788.9,92.6,68.5,6.9,6.0,76.8,66.0,6.9,6.0,3473.3,2480.9,1577.8,161.1,6.450427547289321,71.40513056747184,6.450427547289321,0.0,0.0,0.0,0.0
