,REF_DATE,GEO,Population,Unemployment,Unemployment rate
209,2020-08,Alberta,3512.1,302.4,0.08610233193815665
210,2020-08,British Columbia,4306.9,300.20000000000005,0.06970210592305372
211,2020-08,Canada,31084.8,2043.3,0.06573309141445337
212,2020-08,Manitoba,1048.3,58.0,0.055327673375942
213,2020-08,New Brunswick,647.2,37.2,0.057478368355995055
214,2020-08,Newfoundland and Labrador,445.5,35.3,0.07923681257014589
215,2020-08,Nova Scotia,814.9,49.5,0.0607436495275494
216,2020-08,Ontario,12232.2,822.9,0.06727326237308087
217,2020-08,Prince Edward Island,132.7,8.5,0.0640542577241899
218,2020-08,Quebec,7057.1,380.29999999999995,0.05388899122869166
219,2020-08,Saskatchewan,888.0,49.099999999999994,0.05529279279279278
220,2020-09,Alberta,3515.3,296.2,0.08426023383495007
221,2020-09,British Columbia,4311.4,245.3,0.056895671939509215
222,2020-09,Canada,31114.5,1870.1999999999998,0.06010702405630815
223,2020-09,Manitoba,1048.5,53.6,0.05112064854554125
224,2020-09,New Brunswick,647.7,45.0,0.06947660954145438
225,2020-09,Newfoundland and Labrador,445.4,39.0,0.08756174225415357
226,2020-09,Nova Scotia,815.8,38.1,0.046702623191958816
227,2020-09,Ontario,12245.599999999999,768.3,0.06274090285490298
228,2020-09,Prince Edward Island,132.8,8.9,0.06701807228915663
229,2020-09,Quebec,7064.0,334.2,0.047310305775764436
230,2020-09,Saskatchewan,887.9,41.9,0.047189998873747044
231,2020-10,Alberta,3518.7,278.9,0.07926222752721175
232,2020-10,British Columbia,4314.7,235.7,0.05462720467239901
233,2020-10,Canada,31138.9,1843.3000000000002,0.05919605381050712
234,2020-10,Manitoba,1049.0,50.8,0.04842707340324118
235,2020-10,New Brunswick,647.8,42.3,0.06529793146032727
236,2020-10,Newfoundland and Labrador,445.4,35.0,0.07858105074090706
237,2020-10,Nova Scotia,816.6,44.7,0.0547391623806025
238,2020-10,Ontario,12256.6,759.4,0.06195845503647014
239,2020-10,Prince Edward Island,133.0,8.899999999999999,0.0669172932330827
240,2020-10,Quebec,7069.2,347.29999999999995,0.049128614270355905
241,2020-10,Saskatchewan,888.0,40.4,0.045495495495495496
242,2020-11,Alberta,3522.1000000000004,269.4,0.0764884585900457
243,2020-11,British Columbia,4317.6,223.5,0.05176486937187326
244,2020-11,Canada,31161.699999999997,1763.8,0.05660153329247121
245,2020-11,Manitoba,1049.3,53.0,0.05050986371866959
246,2020-11,New Brunswick,648.0,40.3,0.062191358024691355
247,2020-11,Newfoundland and Labrador,445.4,34.3,0.0770094297260889
248,2020-11,Nova Scotia,817.0,33.4,0.0408812729498164
249,2020-11,Ontario,12267.1,731.7,0.059647349414286996
250,2020-11,Prince Edward Island,133.0,9.7,0.07293233082706767
251,2020-11,Quebec,7074.2,325.5,0.046012269938650305
252,2020-11,Saskatchewan,888.0,42.8,0.04819819819819819
253,2020-12,Alberta,3524.9,263.7,0.07481063292575675
254,2020-12,British Columbia,4319.299999999999,216.0,0.05000810316486468
255,2020-12,Canada,31177.4,1817.1,0.05828260214129465
256,2020-12,Manitoba,1049.4,56.5,0.05384028968934629
257,2020-12,New Brunswick,648.2,40.0,0.0617093489663684
258,2020-12,Newfoundland and Labrador,445.4,35.3,0.07925460260440054
259,2020-12,Nova Scotia,817.0,42.5,0.052019583843329255
260,2020-12,Ontario,12274.4,805.0,0.06558365378348432
261,2020-12,Prince Edward Island,133.0,9.4,0.07067669172932331
262,2020-12,Quebec,7077.6,304.4,0.0430089295806488
263,2020-12,Saskatchewan,888.0999999999999,44.2,0.04976917013849792
264,2021-01,Alberta,3527.7,252.39999999999998,0.07154803412988632
265,2021-01,British Columbia,4320.6,218.2,0.050502245058556675
266,2021-01,Canada,31191.1,1870.1,0.05995620545604355
267,2021-01,Manitoba,1049.4,55.1,0.05250619401562798
268,2021-01,New Brunswick,648.3,35.900000000000006,0.05537559771710629
269,2021-01,Newfoundland and Labrador,445.2,33.0,0.07412398921832884
270,2021-01,Nova Scotia,817.2,44.3,0.05420949583945178
271,2021-01,Ontario,12280.5,808.5,0.06583608159276902
272,2021-01,Prince Edward Island,133.1,7.5,0.056348610067618335
273,2021-01,Quebec,7080.9,373.2,0.05270516459772063
274,2021-01,Saskatchewan,888.0999999999999,42.1,0.04740457155725707
275,2021-02,Alberta,3531.4,241.3,0.0683298408563176
276,2021-02,British Columbia,4323.299999999999,206.8,0.04783383063863254
277,2021-02,Canada,31216.300000000003,1719.4,0.05508019848604735
278,2021-02,Manitoba,1050.4,49.2,0.04683929931454684
279,2021-02,New Brunswick,648.5,38.0,0.058596761757902856
280,2021-02,Newfoundland and Labrador,445.1,37.5,0.08425073017299482
281,2021-02,Nova Scotia,817.4,43.099999999999994,0.05272816246635673
282,2021-02,Ontario,12292.5,759.2,0.0617612365263372
283,2021-02,Prince Edward Island,133.2,8.7,0.06531531531531531
284,2021-02,Quebec,7085.6,293.6,0.04143615219600316
285,2021-02,Saskatchewan,889.0999999999999,42.1,0.04735125407715668
286,2021-03,Alberta,3533.5,225.2,0.06373284279043441
287,2021-03,British Columbia,4326.0,200.10000000000002,0.04625520110957005
288,2021-03,Canada,31234.8,1559.4,0.0499250835606439
289,2021-03,Manitoba,1050.8,49.3,0.046916634944803956
290,2021-03,New Brunswick,648.6,37.6,0.057971014492753624
291,2021-03,Newfoundland and Labrador,445.1,33.3,0.0748146483936194
292,2021-03,Nova Scotia,817.7,46.9,0.057355998532469116
293,2021-03,Ontario,12301.900000000001,613.9,0.049902860533738685
294,2021-03,Prince Edward Island,133.3,7.300000000000001,0.05476369092273068
295,2021-03,Quebec,7088.2,303.29999999999995,0.04278942467763325
296,2021-03,Saskatchewan,889.5,42.400000000000006,0.04766722878021361
297,2021-04,Alberta,3535.3,216.5,0.06123949876955279
298,2021-04,British Columbia,4329.4,197.9,0.04571072204000555
299,2021-04,Canada,31252.0,1659.3,0.05309420197107385
300,2021-04,Manitoba,1050.9,51.5,0.04900561423541726
301,2021-04,New Brunswick,648.9,34.5,0.053166897827092004
302,2021-04,Newfoundland and Labrador,445.0,34.0,0.07640449438202247
303,2021-04,Nova Scotia,818.0,42.4,0.05183374083129584
304,2021-04,Ontario,12311.4,730.9,0.05936774046818396
305,2021-04,Prince Edward Island,133.5,8.3,0.06217228464419476
306,2021-04,Quebec,7090.2,303.5,0.042805562607542806
307,2021-04,Saskatchewan,889.5,39.599999999999994,0.0445193929173693
308,2021-05,Alberta,3536.2,208.9,0.05907471296872349
309,2021-05,British Columbia,4334.6,199.60000000000002,0.046048078254048816
310,2021-05,Canada,31266.1,1661.8,0.05315021700819738
311,2021-05,Manitoba,1050.6999999999998,49.0,0.04663557628247836
312,2021-05,New Brunswick,649.3,36.0,0.055444324657323275
313,2021-05,Newfoundland and Labrador,445.0,33.0,0.07415730337078652
314,2021-05,Nova Scotia,818.7,51.7,0.06314889458898253
315,2021-05,Ontario,12317.3,734.6,0.05963969376405544
316,2021-05,Prince Edward Island,133.7,9.0,0.06731488406881078
317,2021-05,Quebec,7091.4,300.9,0.04243167780692106
318,2021-05,Saskatchewan,889.4000000000001,39.2,0.04407465707218349
319,2021-06,Alberta,3537.7,215.3,0.0608587500353337
320,2021-06,British Columbia,4340.5,191.7,0.04416541873056099
321,2021-06,Canada,31283.5,1605.8000000000002,0.05133057362507393
322,2021-06,Manitoba,1050.5,52.3,0.04978581627796287
323,2021-06,New Brunswick,649.8,39.0,0.06001846722068329
324,2021-06,Newfoundland and Labrador,444.9,32.5,0.07305012362328614
325,2021-06,Nova Scotia,819.5999999999999,44.599999999999994,0.05441678867740361
326,2021-06,Ontario,12324.0,695.1,0.05640214216163583
327,2021-06,Prince Edward Island,133.7,10.899999999999999,0.08152580403889303
328,2021-06,Quebec,7093.700000000001,282.9,0.03988045730718806
329,2021-06,Saskatchewan,889.0,41.3,0.046456692913385826
